Jer 1:1
τὸ RA--NSN--- ὁ
ῤῆμα N3M-NSN--- ῤῆμα
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ὃ RR--NSN--- ὅς
ἐγένετο VBI-AMI3S- γίγνομαι
ἐπὶ P--------- ἐπί
Ιερεμιαν N1T-ASM--- Ἰερεμίας
τὸν RA--ASM--- ὁ
τοῦ RR--GSM--- ὁ
Χελκιου N1T-GSM--- Χελκιας
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ἱερέων N3V-GPM--- ἱερεύς
ὃς RR--NSM--- ὅς
κατῴκει V2I-IAI3S- οἰκέω κατα
ἐν P--------- ἐν
Αναθωθ N---DPF--- Αναθωθ
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Βενιαμιν N---GSM--- Βενιαμίν

Jer 1:2
ὃς RR--NSM--- ὅς
ἐγενήθη VCI-API3S- γίγνομαι
λόγος N2--NSM--- λόγος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
Ιωσια N---GSM--- Ιωσια
υἱοῦ N2--GSM--- υἱός
Αμως N---GSM--- Αμως
βασιλέως N3V-GSM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
ἔτους N3E-GSN--- ἔτος
τρισκαιδεκάτου A1--GSN--- τρισκαιδέκατος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

Jer 1:3
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
Ιωακιμ N---GSM--- Ιωακιμ
υἱοῦ N2--GSM--- υἱός
Ιωσια N---GSM--- Ιωσια
βασιλέως N3V-GSM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
ἕως P--------- ἕως
ἑνδεκάτου A1--GSN--- ἑνδέκατος
ἔτους N3E-GSN--- ἔτος
Σεδεκια N1T-DSM--- Σεδεκιας
υἱοῦ N2--GSM--- υἱός
Ιωσια N---GSM--- Ιωσια
βασιλέως N3V-GSM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
πέμπτῳ A1--DSM--- πέμπτος
μηνί N3--DSM--- μήν

Jer 1:4
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Jer 1:5
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
με RP--AS---- ἐγώ
πλάσαι VA--AAN--- πλάσσω
σε RP--AS---- σύ
ἐν P--------- ἐν
κοιλίᾳ N1A-DSF--- κοιλία
ἐπίσταμαί V6--PMI1S- ἐπίσταμαι
σε RP--AS---- σύ
καὶ C--------- καί
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
σε RP--AS---- σύ
ἐξελθεῖν VB--AAN--- ἔρχομαι ἐκ
ἐκ P--------- ἐκ
μήτρας N1A-GSF--- μήτρα
ἡγίακά VX--XAI1S- ἁγιάζω
σε RP--AS---- σύ
προφήτην N1M-ASM--- προφήτης
εἰς P--------- εἰς
ἔθνη N3E-APN--- ἔθνος
τέθεικά VX--XAI1S- τίθημι
σε RP--AS---- σύ

Jer 1:6
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
ὦ I--------- ὦ
δέσποτα N1M-VSM--- δεσπότης
κύριε N2--VSM--- κύριος
ἰδοὺ I--------- ἰδού
οὐκ D--------- οὐ
ἐπίσταμαι V6--PMI1S- ἐπίσταμαι
λαλεῖν V2--PAN--- λαλέω
ὅτι C--------- ὅτι
νεώτερος A1A-NSMC-- νέος
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί

Jer 1:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
μὴ D--------- μή
λέγε V1--PAD2S- λέγω
ὅτι C--------- ὅτι
νεώτερος A1A-NSMC-- νέος
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
ὅτι C--------- ὅτι
πρὸς P--------- πρός
πάντας A3--APM--- πᾶς
οὓς RR--APM--- ὅς
ἐὰν C--------- ἐάν
ἐξαποστείλω VA--AAS1S- στέλλω ἐκ ἀπο
σε RP--AS---- σύ
πορεύσῃ VF--FMI2S- πορεύομαι
καὶ C--------- καί
κατὰ P--------- κατά
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐὰν C--------- ἐάν
ἐντείλωμαί VA--AMS1S- τέλλομαι ἐν
σοι RP--DS---- σύ
λαλήσεις VF--FAI2S- λαλέω

Jer 1:8
μὴ D--------- μή
φοβηθῇς VC--APS2S- φοβέω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
τοῦ RA--GSN--- ὁ
ἐξαιρεῖσθαί V2--PMN--- αἱρέω ἐκ
σε RP--AS---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Jer 1:9
καὶ C--------- καί
ἐξέτεινεν VAI-AAI3S- τείνω ἐκ
κύριος N2--NSM--- κύριος
τὴν RA--ASF--- ὁ
χεῖρα N3--ASF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
πρός P--------- πρός
με RP--AS---- ἐγώ
καὶ C--------- καί
ἥψατο VAI-AMI3S- ἅπτομαι
τοῦ RA--GSN--- ὁ
στόματός N3M-GSN--- στόμα
μου RP--GS---- ἐγώ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
ἰδοὺ I--------- ἰδού
δέδωκα VX--XAI1S- δίδωμι
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
μου RP--GS---- ἐγώ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
σου RP--GS---- σύ

Jer 1:10
ἰδοὺ I--------- ἰδού
κατέστακά VXI-XAI1S- ἵστημι κατα
σε RP--AS---- σύ
σήμερον D--------- σήμερον
ἐπὶ P--------- ἐπί
ἔθνη N3E-APN--- ἔθνος
καὶ C--------- καί
βασιλείας N1A-APF--- βασιλεία
ἐκριζοῦν V4--PAN--- ῤιζόω ἐκ
καὶ C--------- καί
κατασκάπτειν V1--PAN--- σκάπτω κατα
καὶ C--------- καί
ἀπολλύειν V1--PAN--- ὀλλύω ἀπο
καὶ C--------- καί
ἀνοικοδομεῖν V2--PAN--- οἰκοδομέω ἀνα
καὶ C--------- καί
καταφυτεύειν V1--PAN--- φυτεύω κατα

Jer 1:11
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω
τί RI--ASN--- τίς
σὺ RP--NS---- σύ
ὁρᾷς V3--PAI2S- ὁράω
Ιερεμια N1T-VSM--- Ἰερεμίας
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
βακτηρίαν N1A-ASF--- βακτηρία
καρυΐνην N1--ASF--- καρυΐνη

Jer 1:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
καλῶς D--------- καλῶς
ἑώρακας VX--XAI2S- ὁράω
διότι C--------- διότι
ἐγρήγορα VX--XAI1S- ἐγείρω
ἐγὼ RP--NS---- ἐγώ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
μου RP--GS---- ἐγώ
τοῦ RA--GSN--- ὁ
ποιῆσαι VA--AAN--- ποιέω
αὐτούς RD--APM--- αὐτός

Jer 1:13
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
ἐκ P--------- ἐκ
δευτέρου A1A-GSM--- δεύτερος
λέγων V1--PAPNSM λέγω
τί RI--ASN--- τίς
σὺ RP--NS---- σύ
ὁρᾷς V3--PAI2S- ὁράω
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
λέβητα N3T-ASM--- λέβης
ὑποκαιόμενον V1--PMPASM καίω ὑπο
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πρόσωπον N2N-NSN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
βορρᾶ N1T-GSM--- βορέας

Jer 1:14
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
